,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
1350,Kipling,Alys Medium Waist Pack ,Sale  EUR 21.53, EUR 47.85 ,Rated 3.8 stars with 5 reviews,https://www.macys.com/shop/product/kipling-alys-medium-waist-pack?ID=12932819
1351,Kipling,Alys Medium Waist Pack ,Sale  EUR 21.53, EUR 47.85 ,Rated 3.8 stars with 5 reviews,https://www.macys.com/shop/product/kipling-alys-medium-waist-pack?ID=12932819
1352,I.N.C. International Concepts,"Sutten Hotfix Medium Pouch Handbag, Created for Macy's ",Now  EUR 33.93, EUR 67.87 ,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-sutten-hotfix-medium-pouch-handbag-created-for-macys?ID=19878238
1353,I.N.C. International Concepts,"Sutten Hotfix Medium Pouch Handbag, Created for Macy's ",Now  EUR 33.93, EUR 67.87 ,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-sutten-hotfix-medium-pouch-handbag-created-for-macys?ID=19878238
1354,Donna Karan New York,Donna Karan Baldwin Mini Python Shoulder with Leather Wrapped Rounded Handle,Now  EUR 203.89, EUR 339.82 ,Rated 4.2857 stars with 7 reviews,https://www.macys.com/shop/product/donna-karan-baldwin-mini-python-shoulder-with-leather-wrapped-rounded-handle?ID=19161047
1355,Donna Karan New York,Donna Karan Baldwin Mini Python Shoulder with Leather Wrapped Rounded Handle,Now  EUR 203.89, EUR 339.82 ,Rated 4.2857 stars with 7 reviews,https://www.macys.com/shop/product/donna-karan-baldwin-mini-python-shoulder-with-leather-wrapped-rounded-handle?ID=19161047
1356,I.N.C. International Concepts,"Women's Studded Gloves, Created for Macy's",Sale  EUR 15.62, EUR 31.25 ,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-studded-gloves-created-for-macys?ID=18678093
1357,I.N.C. International Concepts,"Women's Studded Gloves, Created for Macy's",Sale  EUR 15.62, EUR 31.25 ,None,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-studded-gloves-created-for-macys?ID=18678093
1358,I.N.C. International Concepts,"Bajae Diamond Quilted Shoulder Bag, Created for Macy's",Now  EUR 38.80, EUR 97.16 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-bajae-diamond-quilted-shoulder-bag-created-for-macys?ID=19878205
1359,I.N.C. International Concepts,"Bajae Diamond Quilted Shoulder Bag, Created for Macy's",Now  EUR 38.80, EUR 97.16 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-bajae-diamond-quilted-shoulder-bag-created-for-macys?ID=19878205
1360,Sam Edelman,NEW! Bianka Woven Tote,EUR 439.42,None,None,https://www.macys.com/shop/product/sam-edelman-bianka-woven-tote?ID=19227638
1361,Sam Edelman,NEW! Bianka Woven Tote,EUR 439.42,None,None,https://www.macys.com/shop/product/sam-edelman-bianka-woven-tote?ID=19227638
1362,I.N.C. International Concepts,"Ajae Soft Sequin Top Handle Bag, Created for Macy's",Sale  EUR 48.58, EUR 97.16 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-ajae-soft-sequin-top-handle-bag-created-for-macys?ID=17969076
1363,I.N.C. International Concepts,"Ajae Soft Sequin Top Handle Bag, Created for Macy's",Sale  EUR 48.58, EUR 97.16 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-ajae-soft-sequin-top-handle-bag-created-for-macys?ID=17969076
1364,Brahmin,NEW! Suri Melbourne Slg Logo-Detail Leather Wallet ,Now  EUR 126.46, EUR 180.65 ,Rated 5 stars with 4 reviews,https://www.macys.com/shop/product/brahmin-suri-melbourne-slg-logo-detail-leather-wallet?ID=18765296
1365,Brahmin,NEW! Suri Melbourne Slg Logo-Detail Leather Wallet ,Now  EUR 126.46, EUR 180.65 ,Rated 5 stars with 4 reviews,https://www.macys.com/shop/product/brahmin-suri-melbourne-slg-logo-detail-leather-wallet?ID=18765296
1366,I.N.C. International Concepts,"Sutten Ombré Hotfix Pouch, Created for Macy's",Now  EUR 33.93, EUR 67.87 ,Rated 4 stars with 2 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-sutten-ombre-hotfix-pouch-created-for-macys?ID=17739314
1367,I.N.C. International Concepts,"Sutten Ombré Hotfix Pouch, Created for Macy's",Now  EUR 33.93, EUR 67.87 ,Rated 4 stars with 2 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-sutten-ombre-hotfix-pouch-created-for-macys?ID=17739314
1368,Style & Co,"Hudsonn Flap Backpack, Created for Macy's",Sale  EUR 31.05, EUR 77.63 ,None,https://www.macys.com/shop/product/style-co-hudsonn-flap-backpack-created-for-macys?ID=20139192
1369,Style & Co,"Hudsonn Flap Backpack, Created for Macy's",Sale  EUR 31.05, EUR 77.63 ,None,https://www.macys.com/shop/product/style-co-hudsonn-flap-backpack-created-for-macys?ID=20139192
1370,Kipling,Keiko Small Crossbody Bag,Sale  EUR 28.12, EUR 62.50 ,Rated 4.6 stars with 25 reviews,https://www.macys.com/shop/product/kipling-keiko-small-crossbody-bag?ID=16625082
1371,Kipling,Keiko Small Crossbody Bag,Sale  EUR 28.12, EUR 62.50 ,Rated 4.6 stars with 25 reviews,https://www.macys.com/shop/product/kipling-keiko-small-crossbody-bag?ID=16625082
1372,Giani Bernini,"NEW! Croc Flap Small Crossbody, Created for Macy's ",EUR 87.40,None,None,https://www.macys.com/shop/product/giani-bernini-croc-flap-small-crossbody-created-for-macys?ID=17888271
1373,Giani Bernini,"NEW! Croc Flap Small Crossbody, Created for Macy's ",EUR 87.40,None,None,https://www.macys.com/shop/product/giani-bernini-croc-flap-small-crossbody-created-for-macys?ID=17888271
1374,Brahmin,NEW! Hallie Spark Small Leather Satchel,EUR 405.24,None,Rated 4.65 stars with 20 reviews,https://www.macys.com/shop/product/brahmin-hallie-spark-small-leather-satchel?ID=18765300
1375,Brahmin,NEW! Hallie Spark Small Leather Satchel,EUR 405.24,None,Rated 4.65 stars with 20 reviews,https://www.macys.com/shop/product/brahmin-hallie-spark-small-leather-satchel?ID=18765300
